orders-dapr-1    | time="2025-08-22T14:20:29.419714385Z" level=warning msg="mTLS is disabled. Skipping certificate request and tls validation" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime.security type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.421259593Z" level=info msg="loading default configuration" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.433769468Z" level=info msg="metrics server started on :9090/" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.434651468Z" level=info msg="standalone mode configured" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.435603718Z" level=info msg="app id: orders" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.43569226Z" level=info msg="Dapr trace sampler initialized: DaprTraceSampler(P=0.000100)" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.635804093Z" level=info msg="Application configuration loaded" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.635823176Z" level=info msg="dapr initialized. Status: Running. Init Elapsed 211ms" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.436282635Z" level=info msg="local service entry announced: orders -> 172.27.0.6:47516" app_id=orders component="mdns (nameResolution/v1)" instance=ec1e76f57e64 scope=dapr.contrib type=log ver=1.12.0
orders-1         | INFO:     Started server process [1]
orders-1         | INFO:     Waiting for application startup.
orders-1         | INFO:     Application startup complete.
orders-1         | INFO:     Uvicorn running on http://0.0.0.0:5002 (Press CTRL+C to quit)
orders-1         | INFO:     172.27.0.6:45584 - "GET /dapr/config HTTP/1.1" 404 Not Found
orders-1         | INFO:     172.27.0.6:45600 - "GET /dapr/subscribe HTTP/1.1" 404 Not Found
orders-1         | INFO:     172.27.0.6:58594 - "GET /orders/current HTTP/1.1" 200 OK
orders-1         | INFO:     172.27.0.6:58594 - "POST /orders/current/items HTTP/1.1" 200 OK
orders-1         | INFO:     172.27.0.6:44190 - "POST /orders/current/items HTTP/1.1" 200 OK
orders-1         | INFO:     172.27.0.6:44190 - "POST /orders/current/items HTTP/1.1" 200 OK
orders-dapr-1    | time="2025-08-22T14:20:29.438648093Z" level=info msg="Initialized name resolution to mdns" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.438733843Z" level=info msg="Loading components…" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
